Ind,Pri,Cmp,GLON,GLAT,Vmag,f_Vmag,SpType,pml,pmb,dpml,e_dpml,dpmb,e_dpmb,Dis,e_Dis,Rvel,dRVel,e_dRVel,Mass,dR,Prob,ra_y,ra_error_y,dec_y,dec_error_y,l_y,b_y,phot_g_mean_mag_y,bp_rp_y,bp_g_y,g_rp_y,teff_val_y,pmra_y,pmra_error_y,pmdec_y,pmdec_error_y,radial_velocity_y,radial_velocity_error_y,distance_y,distance_error_y,del_pmra,del_pmra_error,del_pmdec,del_pmdec_error,angular_sep_1,angular_sep_2,proy_sep,proy_sep_2,rel_vel,rel_vel_err
600,60183,59502,298.6,-0.9,6.98,, A2V;VaR,-39.1,-15.7,0.2,1.8,-1,1.8,99.9,4.3,7.7,-15.9,1.8,1.47,4.1757,0.45,183.0424166071,0.0299129027,-63.4541570955,0.0291985878,298.5611792709,-0.9161357131,6.961237,0.109075546,0.06082678,0.048248768,8865.333,-40.6440718724,0.0576560333,-10.0919622696,0.0552316657,,,100.602943471,0.3830068542,-0.7900003381,0.1579645009,-1.2298478527,0.1394352703,2.5480600742,2.5480600742,5.4651340817,5.4651340817,0.487911934,0.0744584786
601,60513,60513,299.4,3.7,8.52,369, F3V;VaR,-28,-14.2,,,,,99.8,8.3,6.8,,,1.29,,,186.0758587394,0.0277985419,-58.9765050934,0.0275140711,299.4343748457,3.7108535564,8.404878,0.5740986,0.23155785,0.34254074,6750,-28.6460226561,0.053089996,-13.039906154,0.0493128123,30.8007552877,2.0096731871,102.965997427,0.4280324889,0,0.1061799919,0,0.0986256247,0,0,,0,0,
601,60513,61049,300.2,4.6,8.59,, F7V;UnK,-38.7,-16.5,10.5,2,2.1,2,97,9.2,6.5,0,1.8,1.16,2.0101,0.27,187.6924934644,0.052731823,-58.1880548688,0.0596230529,300.2021979331,4.5741101646,8.428329,0.75804615,0.31455612,0.44349003,5826.967,-39.0012557421,0.1009348968,-13.9282207009,0.1006686032,3.0654010355,4.2028086451,104.5164251327,0.9284111628,10.3552330861,0.1540248927,0.8883145469,0.1499814155,1.1539829114,1.1539829114,2.6017603937,2.6017603937,5.3721758086,0.1545832443
602,60561,60561,300.9,-9.8,6.61,103, A0V;UnK,-39.1,-15,,,,,91.1,2.6,7.9,,,2.82,,,186.215743521,0.0346725402,-72.6039428352,0.0272844746,300.9200758645,-9.8360814655,6.585165,-0.0058221817,0.019815922,-0.025638103,9654,-40.4574336523,0.065096224,-10.4502655949,0.0510686111,,,99.1327060725,0.3533494067,0,0.1301924481,0,0.1021372221,0,0,0,0,0,
602,60561,61017,301.4,-10.2,7.08,, A6IV;UnK,-38.5,-14,-0.8,1.8,-1,1.8,99.9,5,,,,1.73,0.8801,0.19,187.5731297723,0.0208368693,-72.9852850368,0.0199735282,301.3623433768,-10.1780083758,7.016798,0.3551097,0.15188503,0.20322466,7453,-39.4234632989,0.040240236,-10.9733948285,0.0382905774,,,102.4440721602,0.2536798639,-1.0339703533,0.10533646,0.5231292336,0.0893591885,0.5537216029,0.5537216029,3.4516151298,3.4516151298,0.4390664795,0.0310692219
603,60927,60927,153.7,81.1,7.57,218, F8;BiN,78.8,-82.7,,,,,90.7,5.6,3.5,,,1.33,,,187.3121146115,0.0392679005,34.7035573987,0.0256501228,153.6811158513,81.0578464599,7.427741,0.7381654,0.31223345,0.42593193,6017,-111.090894892,0.0695059439,24.4655392294,0.0457153765,3.620317617,0.1566852684,88.7198079623,0.3774170214,0,0.1390118878,0,0.0914307529,0,0,,0,0,
603,60927,60955,180.4,84.4,9.47,, G0;UnK,27.6,-110,5.4,1.9,0.5,2,91.1,10.3,,,,0.98,7.4091,0.12,187.4276548802,0.0350202356,30.022295734,0.0199193577,180.4084005641,84.4217394036,9.308171,0.7385006,0.304039,0.4344616,5934.7754,-108.3844117124,0.0635386993,29.1320247939,0.0353674682,6.7545396994,0.216125088,93.0943544889,0.3670285494,-2.7064831796,0.1330446432,-4.6664855646,0.0810828447,4.6822776144,4.6822776144,8.6176873952,8.6176873952,2.7984008011,0.2498251842
607,61135,61135,284.8,74.3,8.09,295, F0;UnK,-58.4,-13.3,,,,,88.3,7.2,,,,1.39,,,187.9137546891,0.0519737865,12.1278702007,0.0413518382,284.7849909407,74.29845995,7.9977098,0.45882702,0.18883371,0.2699933,7158.34,-57.3441746738,0.1279327474,3.7188164231,0.0779400763,,,106.8253808705,0.7004868136,0,0.2558654949,0,0.1558801526,0,0,,0,0,
607,61135,61416,287.1,75.3,9.2,, F8;UnK,-56.5,-8,-2.2,1.6,-2.8,1.6,90.1,10.5,,,,1.09,1.8039,0.96,188.7774434763,0.0531271471,12.9389918774,0.0407895707,287.0596062403,75.3052236561,9.066493,0.6874199,0.28387642,0.40354347,6057,-57.2916641626,0.1549844184,6.3639618704,0.0728852974,17.4577045848,0.1867986408,107.1507969038,0.8504486423,-0.0525105112,0.2829171659,-2.6451454473,0.1508253737,1.169928635,1.169928635,2.2086650157,2.2086650157,1.3518059931,0.1271880454
610,61937,61937,294.5,73.1,6.22,75, A7Vn;BiN,-104.3,-14.4,,,,,62.9,1.1,9,,,1.44,,,190.3928333831,0.0399330432,10.4262679857,0.0297827514,294.5416996916,73.137085727,6.166513,0.29318666,0.12275791,0.17042875,7840,-106.5183282142,0.0922508161,-0.1925042767,0.0571976787,,,71.1600923478,0.247065879,0,0.1845016322,0,0.1143953574,0,0,,0,0,
610,61937,62350,298.5,74.2,8.66,, G5;OtH,-111,-8.7,5.3,1.4,0.8,1.4,65.4,4.1,-17.8,26.1,2.5,1.03,1.7045,0.96,191.6419388415,0.0494103663,11.378495405,0.03426066,298.5418391741,74.2087178886,8.494772,0.802125,0.33838367,0.4637413,5839,-112.5441437994,0.1136747068,-0.4720641656,0.0594917721,-17.494422774,0.1354223846,65.4053796672,0.2966807048,6.0258155852,0.2059255229,0.2795598889,0.1166894508,1.5527866209,1.5527866209,6.0444148798,6.0444148798,1.0415190557,0.2190655285
611,62144,62144,301.3,25.6,8.69,395, K0V;UnK,-89.7,-46.1,,,,,97.6,11.7,,,,0.98,,,191.0592356256,0.0417717084,-37.2372916596,0.0363264072,301.3425623211,25.6122352172,8.428292,1.0847087,0.48234272,0.602366,5003.6997,-90.6682566663,0.0798488168,-42.1512981714,0.0870053609,-1.3072791838,0.1430448099,106.4749133602,0.5815038182,0,0.1596976337,0,0.1740107218,0,8.53773646251594E-07,1.12189551090071E-06,1.9073486328125E-06,0,
611,62144,62352,301.9,22.5,9.02,, G3V;UnK,-94.5,-45.6,4.7,1.8,-0.5,2.4,96.9,13,,,,0.98,5.3154,0.16,191.6472250415,0.0368023896,-40.3251753745,0.0283626876,301.9313237707,22.537153705,8.85751,0.8287163,0.35324192,0.47547436,5759,-95.3147054156,0.0702269677,-44.8383955364,0.0646036625,-7.6136760093,0.2336830458,90.154790626,0.3489278195,4.6464487493,0.1500757845,2.687097365,0.1516090233,3.1216938513,3.1216938513,17.1707466715,17.1707466715,5.4588272871,0.3572613759
619,65426,65426,308.2,11,7.01,153, A2V;UnK,-35.8,-14.1,,,,,97.9,5.3,3.1,,,1.48,,,201.1501726982,0.0448199765,-51.5045383581,0.0383313674,308.17859244,11.0290609411,6.982725,0.11695814,0.058146477,0.058811665,8735,-34.2456920575,0.1014850592,-18.8113009612,0.0931748899,,,109.2105977241,0.7463141517,0,0.2029701183,0,0.1863497797,0,,0,,0,
619,65426,65089,307.8,13.4,7.95,, A7/A8V;UnK,-35,-17.4,-0.7,1.6,2.9,1.6,96.5,7.3,3,-0.1,1.7,1.25,4.0599,0.34,200.1115015262,0.0367973477,-49.2237571628,0.034401588,307.7931308597,13.3739976764,7.9001637,0.3383193,0.13579655,0.20252275,7646.83,-32.7822939578,0.0864067836,-20.3811698154,0.0828293064,,,115.9015841803,0.693960377,-1.4633980997,0.1878918427,1.5698688542,0.1760041963,2.3750051216,2.3750051216,8.1556802677,8.1556802677,1.4874032059,0.0636695134
